T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,OFF_S
1641515163.187601462s,1641515163.198910580s,1641515163.201451754s,1641515163.190756797s,0.011309s,-0.010695s,0.000307s,0.011002s
1641515163.195562586s,1641515163.206656116s,1641515163.207369681s,1641515163.196822251s,0.011094s,-0.010547s,0.000273s,0.010821s
1641515163.197970351s,1641515163.209012298s,1641515163.209488488s,1641515163.198802454s,0.011042s,-0.010686s,0.000178s,0.010864s
1641515163.199909772s,1641515163.210950530s,1641515163.211540832s,1641515163.200896722s,0.011041s,-0.010644s,0.000198s,0.010843s
1641515163.201984091s,1641515163.213028473s,1641515163.213532279s,1641515163.202906977s,0.011044s,-0.010625s,0.000210s,0.010835s
1641515163.204018774s,1641515163.215056113s,1641515163.215546991s,1641515163.204944525s,0.011037s,-0.010602s,0.000217s,0.010820s
1641515163.206103823s,1641515163.217139624s,1641515163.217574630s,1641515163.207036293s,0.011036s,-0.010538s,0.000249s,0.010787s
1641515163.209017902s,1641515163.220059036s,1641515163.220762873s,1641515163.210109958s,0.011041s,-0.010653s,0.000194s,0.010847s
1641515163.211690829s,1641515163.222745201s,1641515163.223501390s,1641515163.212892680s,0.011054s,-0.010609s,0.000223s,0.010831s
1641515163.214033071s,1641515163.225077831s,1641515163.225576069s,1641515163.214857153s,0.011045s,-0.010719s,0.000163s,0.010882s
1641515163.215564305s,1641515163.226498721s,1641515163.227150494s,1641515163.216486358s,0.010934s,-0.010664s,0.000135s,0.010799s
1641515163.217176843s,1641515163.228223738s,1641515163.228673720s,1641515163.218020248s,0.011047s,-0.010653s,0.000197s,0.010850s
1641515163.218768963s,1641515163.229804883s,1641515163.230615760s,1641515163.220002794s,0.011036s,-0.010613s,0.000211s,0.010824s
1641515163.220974953s,1641515163.231956938s,1641515163.232516936s,1641515163.221850650s,0.010982s,-0.010666s,0.000158s,0.010824s
1641515163.222829788s,1641515163.233868418s,1641515163.234427232s,1641515163.223825592s,0.011039s,-0.010602s,0.000219s,0.010820s
1641515163.224593162s,1641515163.235623995s,1641515163.236166361s,1641515163.225834702s,0.011031s,-0.010332s,0.000350s,0.010681s
1641515163.226402840s,1641515163.237440467s,1641515163.237904274s,1641515163.227246506s,0.011038s,-0.010658s,0.000190s,0.010848s
1641515163.227974804s,1641515163.239011021s,1641515163.239469259s,1641515163.228965348s,0.011036s,-0.010504s,0.000266s,0.010770s
1641515163.229479891s,1641515163.240505159s,1641515163.240960453s,1641515163.230299181s,0.011025s,-0.010661s,0.000182s,0.010843s
1641515163.231071022s,1641515163.242106624s,1641515163.242639838s,1641515163.232087973s,0.011036s,-0.010552s,0.000242s,0.010794s
1641515163.232687466s,1641515163.243718393s,1641515163.244139576s,1641515163.233522694s,0.011031s,-0.010617s,0.000207s,0.010824s
1641515163.234355839s,1641515163.245390738s,1641515163.245817776s,1641515163.235132628s,0.011035s,-0.010685s,0.000175s,0.010860s
1641515163.235955251s,1641515163.246993964s,1641515163.247460426s,1641515163.236855533s,0.011039s,-0.010605s,0.000217s,0.010822s
1641515163.238174678s,1641515163.249214562s,1641515163.249698656s,1641515163.239057980s,0.011040s,-0.010641s,0.000200s,0.010840s
1641515163.240024357s,1641515163.251064219s,1641515163.251582776s,1641515163.240898909s,0.011040s,-0.010684s,0.000178s,0.010862s
1641515163.241449911s,1641515163.252376885s,1641515163.252965427s,1641515163.242887653s,0.010927s,-0.010078s,0.000425s,0.010502s
1641515163.243507720s,1641515163.254547148s,1641515163.254997482s,1641515163.244524254s,0.011039s,-0.010473s,0.000283s,0.010756s
1641515163.245575008s,1641515163.256616291s,1641515163.257125409s,1641515163.246468466s,0.011041s,-0.010657s,0.000192s,0.010849s
1641515163.247349372s,1641515163.258383356s,1641515163.258877466s,1641515163.248262519s,0.011034s,-0.010615s,0.000209s,0.010825s
1641515163.249291762s,1641515163.260275412s,1641515163.260838354s,1641515163.250219596s,0.010984s,-0.010619s,0.000183s,0.010801s
1641515163.251215088s,1641515163.262254188s,1641515163.262724202s,1641515163.252060056s,0.011039s,-0.010664s,0.000188s,0.010852s
1641515163.253079350s,1641515163.264120388s,1641515163.264631842s,1641515163.254005101s,0.011041s,-0.010627s,0.000207s,0.010834s
1641515163.254571364s,1641515163.265598622s,1641515163.267880084s,1641515163.257475807s,0.011027s,-0.010404s,0.000311s,0.010716s
1641515163.258346453s,1641515163.269343310s,1641515163.270208011s,1641515163.259652317s,0.010997s,-0.010556s,0.000221s,0.010776s
1641515163.260337854s,1641515163.271391558s,1641515163.271942723s,1641515163.261548142s,0.011054s,-0.010395s,0.000330s,0.010724s
1641515163.262977863s,1641515163.274014171s,1641515163.274653592s,1641515163.264150235s,0.011036s,-0.010504s,0.000266s,0.010770s
