T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,OFF_S
1641512159.343967154s,1641512159.345647865s,1641512159.349119334s,1641512159.348034487s,0.001681s,-0.001085s,0.000298s,0.001383s
1641512159.350230110s,1641512159.351668120s,1641512159.352962257s,1641512159.351952129s,0.001438s,-0.001010s,0.000214s,0.001224s
1641512159.352903609s,1641512159.354355497s,1641512159.354829319s,1641512159.353798005s,0.001452s,-0.001031s,0.000210s,0.001242s
1641512159.354779642s,1641512159.356219007s,1641512159.357433721s,1641512159.356315614s,0.001439s,-0.001118s,0.000161s,0.001279s
1641512159.357884973s,1641512159.359331054s,1641512159.360008426s,1641512159.358934216s,0.001446s,-0.001074s,0.000186s,0.001260s
1641512159.359367247s,1641512159.360798086s,1641512159.361245476s,1641512159.360225756s,0.001431s,-0.001020s,0.000206s,0.001225s
1641512159.361945848s,1641512159.363395448s,1641512159.364071636s,1641512159.363011081s,0.001450s,-0.001060s,0.000195s,0.001255s
1641512159.363667606s,1641512159.365113391s,1641512159.365574860s,1641512159.364522365s,0.001446s,-0.001052s,0.000197s,0.001249s
1641512159.365914116s,1641512159.367357506s,1641512159.368150718s,1641512159.367167582s,0.001443s,-0.000983s,0.000230s,0.001213s
1641512159.367671812s,1641512159.369061593s,1641512159.369695157s,1641512159.368596625s,0.001390s,-0.001099s,0.000146s,0.001244s
1641512159.369493156s,1641512159.370931311s,1641512159.371357196s,1641512159.370334790s,0.001438s,-0.001022s,0.000208s,0.001230s
1641512159.370994805s,1641512159.372439814s,1641512159.373092771s,1641512159.372032485s,0.001445s,-0.001060s,0.000192s,0.001253s
1641512159.372785471s,1641512159.374167741s,1641512159.374710394s,1641512159.373659606s,0.001382s,-0.001051s,0.000166s,0.001216s
1641512159.374596398s,1641512159.376036563s,1641512159.376582448s,1641512159.375519128s,0.001440s,-0.001063s,0.000188s,0.001252s
1641512159.376580350s,1641512159.378019496s,1641512159.378644804s,1641512159.377530268s,0.001439s,-0.001114s,0.000162s,0.001277s
1641512159.378509405s,1641512159.379945661s,1641512159.380516570s,1641512159.379449531s,0.001436s,-0.001067s,0.000185s,0.001252s
1641512159.380336634s,1641512159.381773331s,1641512159.382414192s,1641512159.381503432s,0.001437s,-0.000911s,0.000263s,0.001174s
1641512159.382598457s,1641512159.384033319s,1641512159.384526244s,1641512159.383529780s,0.001435s,-0.000997s,0.000219s,0.001216s
1641512159.384512615s,1641512159.385899421s,1641512159.386623417s,1641512159.385518524s,0.001387s,-0.001105s,0.000141s,0.001246s
1641512159.386388336s,1641512159.387744051s,1641512159.388268912s,1641512159.387089966s,0.001356s,-0.001179s,0.000088s,0.001267s
1641512159.387448464s,1641512159.388803981s,1641512159.389118443s,1641512159.389284600s,0.001355s,0.000166s,0.000761s,0.000595s
1641512159.389841540s,1641512159.391199680s,1641512159.391581118s,1641512159.390454054s,0.001358s,-0.001127s,0.000116s,0.001243s
1641512159.391492307s,1641512159.392859223s,1641512159.393573107s,1641512159.392669469s,0.001367s,-0.000904s,0.000232s,0.001135s
1641512159.393648138s,1641512159.395006155s,1641512159.395703463s,1641512159.394824154s,0.001358s,-0.000879s,0.000239s,0.001119s
1641512159.395408230s,1641512159.396762753s,1641512159.397101663s,1641512159.396975037s,0.001355s,-0.000127s,0.000614s,0.000741s
1641512159.397731981s,1641512159.399090357s,1641512159.399465138s,1641512159.398377882s,0.001358s,-0.001087s,0.000136s,0.001223s
1641512159.399828800s,1641512159.401194409s,1641512159.401713926s,1641512159.400614027s,0.001365s,-0.001100s,0.000133s,0.001233s
1641512159.401524777s,1641512159.402964191s,1641512159.403582716s,1641512159.402482976s,0.001439s,-0.001100s,0.000170s,0.001270s
1641512159.403351225s,1641512159.404733302s,1641512159.405311250s,1641512159.404254527s,0.001382s,-0.001057s,0.000163s,0.001220s
1641512159.404974595s,1641512159.406415084s,1641512159.406953578s,1641512159.405948524s,0.001440s,-0.001005s,0.000218s,0.001223s
1641512159.406923182s,1641512159.408362114s,1641512159.408950335s,1641512159.407842942s,0.001439s,-0.001107s,0.000166s,0.001273s
1641512159.408393893s,1641512159.409782682s,1641512159.410305335s,1641512159.409399124s,0.001389s,-0.000906s,0.000241s,0.001148s
1641512159.409992054s,1641512159.411422993s,1641512159.413520614s,1641512159.412618729s,0.001431s,-0.000902s,0.000265s,0.001166s
1641512159.413414112s,1641512159.414850910s,1641512159.415284732s,1641512159.414178869s,0.001437s,-0.001106s,0.000166s,0.001271s
1641512159.415017795s,1641512159.416451478s,1641512159.417089650s,1641512159.415995786s,0.001434s,-0.001094s,0.000170s,0.001264s
1641512159.416501995s,1641512159.417931181s,1641512159.418529642s,1641512159.417475663s,0.001429s,-0.001054s,0.000188s,0.001242s
1641512159.418437508s,1641512159.419932066s,1641512159.420402656s,1641512159.419335914s,0.001495s,-0.001067s,0.000214s,0.001281s
1641512159.420285624s,1641512159.421726169s,1641512159.422152950s,1641512159.421100330s,0.001441s,-0.001053s,0.000194s,0.001247s
1641512159.421930870s,1641512159.423376176s,1641512159.423912941s,1641512159.422824849s,0.001445s,-0.001088s,0.000179s,0.001267s
1641512159.426524569s,1641512159.427965270s,1641512159.428563795s,1641512159.427486310s,0.001441s,-0.001077s,0.000182s,0.001259s
1641512159.428280651s,1641512159.429722317s,1641512159.430272906s,1641512159.429155515s,0.001442s,-0.001117s,0.000162s,0.001279s
1641512159.429976732s,1641512159.431417316s,1641512159.431910241s,1641512159.430835345s,0.001441s,-0.001075s,0.000183s,0.001258s
1641512159.431809846s,1641512159.433249658s,1641512159.433701143s,1641512159.432574812s,0.001440s,-0.001126s,0.000157s,0.001283s
1641512159.436372087s,1641512159.437809633s,1641512159.438363742s,1641512159.437341223s,0.001438s,-0.001023s,0.000208s,0.001230s
1641512159.438211452s,1641512159.439592279s,1641512159.440137268s,1641512159.439043919s,0.001381s,-0.001093s,0.000144s,0.001237s
1641512159.440075244s,1641512159.441516684s,1641512159.442149033s,1641512159.441054121s,0.001441s,-0.001095s,0.000173s,0.001268s
1641512159.441927162s,1641512159.443369314s,1641512159.443815808s,1641512159.443150680s,0.001442s,-0.000665s,0.000389s,0.001054s
1641512159.443651733s,1641512159.445083705s,1641512159.445545782s,1641512159.444577223s,0.001432s,-0.000968s,0.000232s,0.001200s
1641512159.445123485s,1641512159.446559025s,1641512159.446948719s,1641512159.445881367s,0.001436s,-0.001067s,0.000184s,0.001251s
1641512159.446246636s,1641512159.447681355s,1641512159.448132840s,1641512159.447053061s,0.001435s,-0.001080s,0.000178s,0.001257s
1641512159.447598334s,1641512159.449032227s,1641512159.449459905s,1641512159.448397519s,0.001434s,-0.001062s,0.000186s,0.001248s
1641512159.450696946s,1641512159.452135762s,1641512159.452700463s,1641512159.451588842s,0.001439s,-0.001112s,0.000164s,0.001275s
1641512159.452787984s,1641512159.454228103s,1641512159.454836611s,1641512159.453796653s,0.001440s,-0.001040s,0.000200s,0.001240s
1641512159.454807093s,1641512159.456242204s,1641512159.456796025s,1641512159.455720760s,0.001435s,-0.001075s,0.000180s,0.001255s
1641512159.459304123s,1641512159.461095425s,1641512159.461480415s,1641512159.460383575s,0.001791s,-0.001097s,0.000347s,0.001444s
1641512159.461010204s,1641512159.462444250s,1641512159.462929463s,1641512159.461900797s,0.001434s,-0.001029s,0.000203s,0.001231s
1641512159.462738056s,1641512159.464179536s,1641512159.464697165s,1641512159.463598753s,0.001441s,-0.001098s,0.000172s,0.001270s
1641512159.464064024s,1641512159.465531561s,1641512159.466123334s,1641512159.465082277s,0.001467s,-0.001041s,0.000213s,0.001254s
1641512159.465798908s,1641512159.467260703s,1641512159.468020987s,1641512159.467001904s,0.001462s,-0.001019s,0.000221s,0.001240s
1641512159.467441393s,1641512159.468866871s,1641512159.469288628s,1641512159.468704078s,0.001426s,-0.000585s,0.000420s,0.001005s
1641512159.469233986s,1641512159.470592749s,1641512159.471026283s,1641512159.469886345s,0.001359s,-0.001140s,0.000109s,0.001249s
1641512159.470434326s,1641512159.471793383s,1641512159.472172965s,1641512159.471053091s,0.001359s,-0.001120s,0.000120s,0.001239s
1641512159.471537164s,1641512159.472892929s,1641512159.473207807s,1641512159.472414997s,0.001356s,-0.000793s,0.000282s,0.001074s
1641512159.472933967s,1641512159.474286073s,1641512159.474614167s,1641512159.473475229s,0.001352s,-0.001139s,0.000107s,0.001245s
1641512159.474022117s,1641512159.475379731s,1641512159.475741809s,1641512159.474582963s,0.001358s,-0.001159s,0.000099s,0.001258s
1641512159.475202196s,1641512159.476560684s,1641512159.476943658s,1641512159.475813512s,0.001359s,-0.001130s,0.000114s,0.001244s
1641512159.476521758s,1641512159.477875365s,1641512159.478426178s,1641512159.477345475s,0.001354s,-0.001081s,0.000136s,0.001217s
1641512159.477652304s,1641512159.479009151s,1641512159.479333597s,1641512159.478655817s,0.001357s,-0.000678s,0.000340s,0.001017s
