frame,time,offset,recv time,send,the,raw
1,0.048817873,0,1641860738,1641860737,0.048820019,1.5842
2,0.047212005,0.002792239,1641860738,1641860738,0.044430017,1.5842
3,0.047319174,0.00211978,1641860738,1641860738,0.045220137,1.5842
4,0.032746315,0.004352808,1641860738,1641860738,0.028409958,1.5842
5,0.047873855,0.002250552,1641860738,1641860738,0.045629978,1.5842
6,0.042539954,0.004720807,1641860738,1641860738,0.037830114,1.5842
7,0.043218136,0.002268553,1641860738,1641860738,0.040959835,1.5842
8,0.031332731,0.00273037,1641860738,1641860738,0.028609991,1.5842
9,0.047436595,0.002246261,1641860738,1641860738,0.045199871,1.5842
10,0.042793155,0.004778981,1641860738,1641860738,0.038019896,1.5842
11,0.040607095,0.002246737,1641860738,1641860738,0.038370132,1.5842
12,0.040333748,0.002196074,1641860738,1641860738,0.038140059,1.5842
13,0.0401752,0.002101183,1641860738,1641860738,0.038089991,1.5842
14,0.041961551,0.002296567,1641860738,1641860738,0.039669991,1.5842
15,0.042855501,0.002392292,1641860738,1641860738,0.040470123,1.5842
16,0.040587068,0.002236724,1641860738,1641860738,0.038360119,1.5842
17,0.044633627,0.002287388,1641860738,1641860738,0.042350054,1.5842
18,0.040280461,0.002317309,1641860738,1641860738,0.03798008,1.5842
19,0.04223001,0.002276301,1641860738,1641860738,0.039969921,1.5842
20,0.040714979,0.003176451,1641860738,1641860738,0.037549973,1.5842
21,0.048173666,0.0020504,1641860738,1641860738,0.046139956,1.5842
22,0.042199731,0.002627254,1641860738,1641860738,0.039589882,1.5842
23,0.041107893,0.002320051,1641860738,1641860738,0.038800001,1.5842
24,0.051661015,0.002359152,1641860738,1641860738,0.049309969,1.5842
25,0.042235374,0.002144337,1641860739,1641860738,0.040109873,1.5842
26,0.04404068,0.002226591,1641860739,1641860739,0.041830063,1.5842
27,0.040439487,0.002241492,1641860739,1641860739,0.038219929,1.5842
28,0.045500159,0.002282023,1641860739,1641860739,0.043230057,1.5842
29,0.044127107,0.002186179,1641860739,1641860739,0.041949987,1.5842
30,0.040829301,0.002231717,1641860739,1641860739,0.038609982,1.5842
31,0.042961121,0.002240896,1641860739,1641860739,0.04073,1.5842
32,0.040436745,0.002941132,1641860739,1641860739,0.037509918,1.5842
33,0.040557742,0.002219558,1641860739,1641860739,0.038349867,1.5842
34,0.052185416,0.002324939,1641860739,1641860739,0.049870014,1.5842
35,0.048629999,0.002773762,1641860739,1641860739,0.045859814,1.5842
36,0.049261689,0.002173781,1641860739,1641860739,0.047100067,1.5842
37,0.040076256,0.002340794,1641860739,1641860739,0.037750006,1.5842
38,0.042192817,0.002249837,1641860739,1641860739,0.039959908,1.5842
39,0.045102477,0.002805352,1641860739,1641860739,0.042309999,1.5842
40,0.040458679,0.002214193,1641860739,1641860739,0.038249969,1.5842
41,0.111716032,0.002292156,1641860739,1641860739,0.109440088,1.5842
42,0.040508747,0.002152681,1641860739,1641860739,0.038369894,1.5842
43,0.042251229,0.002143979,1641860739,1641860739,0.040119886,1.5842
44,0.040791869,0.002475381,1641860739,1641860739,0.038320065,1.5842
45,0.042186737,0.002278566,1641860739,1641860739,0.039919853,1.5842
46,0.040755749,0.002773046,1641860739,1641860739,0.037990093,1.5842
47,0.040377378,0.002248526,1641860739,1641860739,0.038140059,1.5842
48,0.040611386,0.002146125,1641860740,1641860739,0.038480043,1.5842
49,0.051457286,0.00228703,1641860740,1641860740,0.049180031,1.5842
50,0.053913236,0.002854943,1641860740,1641860740,0.051069975,1.5842
51,0.039937854,0.002231479,1641860740,1641860740,0.037719965,1.5842
52,0.041204572,0.002251983,1641860740,1641860740,0.03895998,1.5842
53,0.042292356,0.002644062,1641860740,1641860740,0.039649963,1.5842
54,0.044777989,0.00283134,1641860740,1641860740,0.041960001,1.5842
55,0.047159314,0.002196431,1641860740,1641860740,0.044980049,1.5842
56,0.031055212,0.002300978,1641860740,1641860740,0.02876997,1.5842
57,0.045181751,0.00224185,1641860740,1641860740,0.042949915,1.5842
58,0.055677414,0.004403591,1641860740,1641860740,0.051290035,1.5842
59,0.040244222,0.002325892,1641860740,1641860740,0.037930012,1.5842
60,0.042550325,0.002343178,1641860740,1641860740,0.040220022,1.5842
61,0.042234182,0.002133369,1641860740,1641860740,0.040109873,1.5842
62,0.044580817,0.00223887,1641860740,1641860740,0.042359829,1.5842
63,0.041812062,0.002341866,1641860740,1641860740,0.039480209,1.5842
64,0.039817214,0.00216043,1641860740,1641860740,0.037669897,1.5842
65,0.041147947,0.002300501,1641860740,1641860740,0.038860083,1.5842
66,0.042331219,0.002669811,1641860740,1641860740,0.039679766,1.5842
67,0.040264726,0.002857566,1641860740,1641860740,0.037420034,1.5842
68,0.041351795,0.002086401,1641860740,1641860740,0.039280176,1.5842
69,0.042827487,0.002845168,1641860740,1641860740,0.039999962,1.5842
70,0.040360808,0.002269387,1641860740,1641860740,0.038100004,1.5842
71,0.04003191,0.002347708,1641860740,1641860740,0.037700176,1.5842
72,0.05005312,0.002024174,1641860741,1641860740,0.048040152,1.5842
73,0.053800106,0.002625942,1641860741,1641860741,0.051179886,1.5842
74,0.040075064,0.002116442,1641860741,1641860741,0.037969828,1.5842
75,0.051927209,0.002279162,1641860741,1641860741,0.049660206,1.5842
76,0.040639043,0.002978683,1641860741,1641860741,0.037679911,1.5842
77,0.050222635,0.002257109,1641860741,1641860741,0.047970057,1.5842
78,0.040519834,0.002585053,1641860741,1641860741,0.037940025,1.5842
79,0.042559147,0.002266407,1641860741,1641860741,0.040309906,1.5842
80,0.041159749,0.002869725,1641860741,1641860741,0.038300037,1.5842
81,0.039958715,0.002307177,1641860741,1641860741,0.037670135,1.5842
82,0.041304111,0.002198458,1641860741,1641860741,0.039119959,1.5842
83,0.048604608,0.002735257,1641860741,1641860741,0.045890093,1.5842
84,0.040580273,0.002145529,1641860741,1641860741,0.038439989,1.5842
85,0.041481614,0.002248883,1641860741,1641860741,0.039239883,1.5842
86,0.042930603,0.002560139,1641860741,1641860741,0.040380001,1.5842
87,0.040974975,0.002846122,1641860741,1641860741,0.038140059,1.5842
88,0.040291429,0.002302766,1641860741,1641860741,0.038000107,1.5842
89,0.041651845,0.002171874,1641860741,1641860741,0.039489985,1.5842
90,0.041042328,0.002801657,1641860741,1641860741,0.038259983,1.5842
91,0.039773226,0.002269983,1641860741,1641860741,0.037509918,1.5842
92,0.041852593,0.002205968,1641860741,1641860741,0.039659977,1.5842
93,0.040759444,0.003012776,1641860741,1641860741,0.037760019,1.5842
94,0.0443331,0.002166867,1641860741,1641860741,0.042170048,1.5842
95,0.049441099,0.002781391,1641860741,1641860741,0.04666996,1.5842
96,0.038598776,0.0022645,1641860742,1641860741,0.036350012,1.5842
97,0.049101114,0.002009392,1641860742,1641860742,0.047100067,1.5842
98,0.041532636,0.003888726,1641860742,1641860742,0.037660122,1.5842
99,0.050315499,0.002093434,1641860742,1641860742,0.048239946,1.5842
100,0.039681077,0.002145171,1641860742,1641860742,0.037549973,1.5842
101,0.041263223,0.002249837,1641860742,1641860742,0.039030075,1.5842
102,0.042453051,0.002739906,1641860742,1641860742,0.039720058,1.5842
103,0.041309953,0.002147794,1641860742,1641860742,0.03918004,1.5842
104,0.042006612,0.002137065,1641860742,1641860742,0.039879799,1.5842
105,0.040895104,0.002233863,1641860742,1641860742,0.038669825,1.5842
106,0.04219532,0.002271414,1641860742,1641860742,0.039930105,1.5842
107,0.040405869,0.002720952,1641860742,1641860742,0.037699938,1.5842
108,0.040097237,0.002326727,1641860742,1641860742,0.037780046,1.5842
109,0.031482697,0.002255201,1641860742,1641860742,0.029240131,1.5842
110,0.046180606,0.00237143,1641860742,1641860742,0.043829918,1.5842
111,0.046322107,0.004959345,1641860742,1641860742,0.041370153,1.5842
112,0.044403434,0.00233686,1641860742,1641860742,0.042080164,1.5842
113,0.040200233,0.002369642,1641860742,1641860742,0.037840128,1.5842
114,0.040149689,0.002355337,1641860742,1641860742,0.037809849,1.5842
115,0.041113138,0.002301931,1641860742,1641860742,0.038820028,1.5842
116,0.040812135,0.002249122,1641860742,1641860742,0.038569927,1.5842
117,0.04437387,0.002496123,1641860742,1641860742,0.041889906,1.5842
118,0.047241569,0.002220988,1641860742,1641860742,0.045030117,1.5842
119,0.05405879,0.002190351,1641860742,1641860742,0.051879883,1.5842
120,0.040847301,0.002355814,1641860742,1641860742,0.038500071,1.5842
121,0.044524908,0.002118349,1641860743,1641860743,0.04241991,1.5842
122,0.040539742,0.00228858,1641860743,1641860743,0.038269997,1.5842
123,0.042301536,0.002316833,1641860743,1641860743,0.039999962,1.5842
124,0.039641738,0.002109408,1641860743,1641860743,0.037550211,1.5842
125,0.04966712,0.002269745,1641860743,1641860743,0.047410011,1.5842
126,0.041908622,0.002292275,1641860743,1641860743,0.039629936,1.5842
127,0.041174054,0.002160907,1641860743,1641860743,0.039029837,1.5842
128,0.040505528,0.002148271,1641860743,1641860743,0.038369894,1.5842
129,0.040079713,0.002293229,1641860743,1641860743,0.037800074,1.5842
130,0.041591406,0.002205372,1641860743,1641860743,0.039390087,1.5842
131,0.041794538,0.002742052,1641860743,1641860743,0.039069891,1.5842
132,0.040058374,0.002327919,1641860743,1641860743,0.037739992,1.5842
133,0.051199079,0.002156377,1641860743,1641860743,0.049060106,1.5842
134,0.051299095,0.001445293,1641860743,1641860743,0.049870014,1.5842
135,0.0399158,0.002137423,1641860743,1641860743,0.03779006,1.5842
136,0.041928053,0.002284765,1641860743,1641860743,0.039649963,1.5842
137,0.031951308,0.00259912,1641860743,1641860743,0.029359818,1.5842
138,0.045697808,0.002420068,1641860743,1641860743,0.043300152,1.5842
139,0.042824864,0.004356503,1641860743,1641860743,0.038480043,1.5842
140,0.040871024,0.002214789,1641860743,1641860743,0.038670063,1.5842
141,0.044535041,0.00213635,1641860743,1641860743,0.042409897,1.5842
142,0.040017247,0.002197623,1641860743,1641860743,0.037829876,1.5842
143,0.041392803,0.00229311,1641860743,1641860743,0.039110184,1.5842
144,0.040673018,0.002776623,1641860743,1641860743,0.037909985,1.5842
145,0.037999392,0.002165079,1641860744,1641860743,0.035840034,1.5842
146,0.052118778,0.002237797,1641860744,1641860744,0.049890041,1.5842
147,0.041380167,0.003692865,1641860744,1641860744,0.03771019,1.5842
148,0.041109681,0.002089858,1641860744,1641860744,0.03903985,1.5842
149,0.040802598,0.002800822,1641860744,1641860744,0.038020134,1.5842
150,0.040552735,0.002381682,1641860744,1641860744,0.038180113,1.5842
151,0.043605208,0.002137065,1641860744,1641860744,0.041480064,1.5842
152,0.040304661,0.002568007,1641860744,1641860744,0.037750006,1.5842
153,0.040277839,0.002138734,1641860744,1641860744,0.038150072,1.5842
154,0.042212248,0.002231121,1641860744,1641860744,0.039989948,1.5842
155,0.042755365,0.002833843,1641860744,1641860744,0.039929867,1.5842
156,0.043465853,0.002124786,1641860744,1641860744,0.041359901,1.5842
157,0.040130019,0.00213635,1641860744,1641860744,0.038000107,1.5842
158,0.039687991,0.002255797,1641860744,1641860744,0.037440062,1.5842
159,0.04077518,0.002025485,1641860744,1641860744,0.038759947,1.5842
160,0.052862883,0.002609968,1641860744,1641860744,0.050270081,1.5842
161,0.043120384,0.002855301,1641860744,1641860744,0.040280104,1.5842
162,0.050681829,0.002369881,1641860744,1641860744,0.048330069,1.5842
163,0.042058825,0.002298474,1641860744,1641860744,0.039779902,1.5842
164,0.042778373,0.002301097,1641860744,1641860744,0.04049015,1.5842
165,0.040078998,0.002202153,1641860744,1641860744,0.037889957,1.5842
166,0.040835381,0.002369881,1641860744,1641860744,0.038469791,1.5842
167,0.042469621,0.002310872,1641860744,1641860744,0.040179968,1.5842
168,0.043439269,0.002170205,1641860744,1641860744,0.041280031,1.5842
169,0.044744968,0.002291918,1641860745,1641860744,0.042459965,1.5842
170,0.042454481,0.004358768,1641860745,1641860745,0.038120031,1.5842
