frame,time,offset,recv time,send,the,raw,time_2
1,0.037970304,0,1641996538,1641996538,0.04798008,8.3535,0.040970304
2,0.037652731,-0.0084095,1641996538,1641996538,0.039250145,8.3535,0.040652731
3,0.047724366,-0.008737683,1641996538,1641996538,0.049000034,8.3535,0.050724366
4,0.035753548,-0.007626593,1641996538,1641996538,0.038140068,8.3535,0.038753548
5,0.046088457,-0.007979393,1641996538,1641996538,0.048129807,8.3535,0.049088457
6,0.040792763,-0.008112729,1641996538,1641996538,0.042690048,8.3535,0.043792763
7,0.035681009,-0.008191109,1641996538,1641996538,0.037499914,8.3535,0.038681009
8,0.035482824,-0.008275926,1641996539,1641996538,0.037209997,8.3535,0.038482824
9,0.035681878,-0.008350764,1641996539,1641996539,0.037340174,8.3535,0.038681878
10,0.037743524,-0.008379892,1641996539,1641996539,0.039380083,8.3535,0.040743524
11,0.036472228,-0.008320954,1641996539,1641996539,0.038159857,8.3535,0.039472228
12,0.038059735,-0.008357072,1641996539,1641996539,0.039720068,8.3535,0.041059735
13,0.044685711,-0.008377184,1641996539,1641996539,0.046319971,8.3535,0.047685711
14,0.035231143,-0.00840047,1641996539,1641996539,0.036839972,8.3535,0.038231143
15,0.046209005,-0.008417753,1641996539,1641996539,0.047800074,8.3535,0.049209005
16,0.035144985,-0.008417308,1641996539,1641996539,0.036740074,8.3535,0.038144985
17,0.036910653,-0.008438945,1641996539,1641996539,0.038470039,8.3535,0.039910653
18,0.045985945,-0.008431919,1641996539,1641996539,0.047559986,8.3535,0.048985945
19,0.035652659,-0.008425734,1641996539,1641996539,0.037240038,8.3535,0.038652659
20,0.04638503,-0.008437614,1641996539,1641996539,0.047960052,8.3535,0.04938503
21,0.038494593,-0.008438117,1641996539,1641996539,0.040070066,8.3535,0.041494593
22,0.037720239,-0.008440292,1641996539,1641996539,0.039289961,8.3535,0.040720239
23,0.037201206,-0.008442442,1641996539,1641996539,0.03876997,8.3535,0.040201206
24,0.045438891,-0.00844801,1641996539,1641996539,0.046999941,8.3535,0.048438891
25,0.035838547,-0.008456173,1641996539,1641996539,0.037390003,8.3535,0.038838547
26,0.027351578,-0.008460959,1641996539,1641996539,0.028900156,8.3535,0.030351578
27,0.045591378,-0.008454823,1641996539,1641996539,0.047149906,8.3535,0.048591378
28,0.040839668,-0.00836205,1641996539,1641996539,0.042480001,8.3535,0.043839668
29,0.03674803,-0.008368351,1641996539,1641996539,0.038379917,8.3535,0.03974803
30,0.050202004,-0.008376947,1641996539,1641996539,0.051829824,8.3535,0.053202004
31,0.048372922,-0.008381305,1641996540,1641996539,0.049999962,8.3535,0.051372922
32,0.036170149,-0.008388186,1641996540,1641996540,0.03779007,8.3535,0.039170149
