frame,time,offset,recv time,send,the
1,0.104250669,0,1641861527,1641861527,0.104259968
2,0.086984038,0.004389644,1641861527,1641861527,0.082609892
3,0.086841226,0.002220273,1641861527,1641861527,0.084630013
4,0.086530089,0.002257228,1641861527,1641861527,0.084280014
5,0.076801181,0.002084851,1641861527,1641861527,0.074729919
6,0.076398134,0.002141714,1641861528,1641861527,0.07427001
7,0.078531504,0.002032518,1641861528,1641861528,0.07652998
8,0.09178102,0.00206387,1641861528,1641861528,0.089730024
9,0.074817538,0.001962543,1641861528,1641861528,0.072860003
10,0.07582128,0.0021106,1641861528,1641861528,0.073719978
11,0.084750056,0.002084613,1641861528,1641861528,0.082669973
12,0.073533654,0.001926541,1641861528,1641861528,0.071619987
13,0.073396683,0.002133608,1641861528,1641861528,0.071269989
14,0.086492419,0.002126336,1641861528,1641861528,0.084370136
15,0.085924268,0.002172351,1641861528,1641861528,0.083760023
16,0.066756725,0.002095699,1641861528,1641861528,0.064670086
17,0.077447295,0.002090096,1641861528,1641861528,0.075369835
18,0.091391444,0.002095342,1641861528,1641861528,0.089309931
19,0.078317165,0.002032995,1641861529,1641861528,0.076290131
20,0.072635174,0.002226353,1641861529,1641861529,0.070420027
21,0.080271602,0.001943469,1641861529,1641861529,0.078340054
22,0.077708364,0.002152324,1641861529,1641861529,0.075570107
23,0.073476911,0.002189755,1641861529,1641861529,0.07130003
24,0.074405551,0.002199769,1641861529,1641861529,0.072220087
25,0.091472268,0.002216935,1641861529,1641861529,0.089270115
26,0.074025035,0.004052281,1641861529,1641861529,0.06998992
27,0.075116038,0.001970172,1641861529,1641861529,0.073160172
28,0.085027814,0.002038598,1641861529,1641861529,0.082999945
29,0.083559394,0.002050519,1641861529,1641861529,0.081520081
30,0.074319959,0.002267241,1641861529,1641861529,0.072069883
31,0.076619744,0.002108932,1641861529,1641861529,0.074519873
32,0.074576735,0.002010465,1641861530,1641861529,0.072580099
33,0.08738327,0.001970291,1641861530,1641861530,0.085430145
34,0.075011492,0.002099514,1641861530,1641861530,0.072929859
35,0.085633993,0.002105713,1641861530,1641861530,0.083539963
36,0.07854104,0.002074718,1641861530,1641861530,0.076470137
37,0.085565329,0.002121925,1641861530,1641861530,0.083460093
38,0.083931446,0.002086401,1641861530,1641861530,0.081860065
39,0.086519122,0.002165437,1641861530,1641861530,0.084369898
40,0.07767415,0.002125263,1641861530,1641861530,0.075560093
41,0.084200025,0.002147317,1641861530,1641861530,0.082060099
42,0.076447845,0.002128959,1641861530,1641861530,0.074330091
43,0.075460315,0.002206206,1641861530,1641861530,0.073270082
44,0.074361324,0.002372742,1641861531,1641861530,0.072000027
45,0.075883269,0.0020715,1641861531,1641861531,0.073829889
46,0.088254571,0.00205195,1641861531,1641861531,0.086220026
47,0.086255431,0.002123475,1641861531,1641861531,0.084149837
48,0.074809313,0.002124786,1641861531,1641861531,0.07269001
49,0.080664754,0.002150655,1641861531,1641861531,0.078530073
50,0.07281971,0.001988649,1641861531,1641861531,0.070839882
51,0.074743271,0.002097845,1641861531,1641861531,0.072659969
52,0.073358059,0.002165794,1641861531,1641861531,0.071199894
53,0.083521366,0.002146006,1641861531,1641861531,0.081380129
54,0.074165821,0.002038956,1641861531,1641861531,0.072139978
55,0.078899503,0.002287507,1641861531,1641861531,0.076629877
56,0.071361661,0.001927733,1641861531,1641861531,0.06945014
57,0.074463606,0.002118826,1641861531,1641861531,0.072350025
58,0.074390054,0.002075076,1641861532,1641861531,0.072329998
59,0.078668833,0.002144575,1641861532,1641861532,0.076530218
60,0.0876863,0.003043175,1641861532,1641861532,0.084660053
61,0.07424736,0.00209403,1641861532,1641861532,0.072160006
62,0.071808696,0.002045512,1641861532,1641861532,0.069780111
63,0.084138036,0.002139926,1641861532,1641861532,0.082010031
64,0.07398355,0.0020715,1641861532,1641861532,0.07193017
65,0.077971578,0.002325177,1641861532,1641861532,0.07565999
66,0.076189518,0.002046824,1641861532,1641861532,0.074149847
67,0.08608675,0.002136469,1641861532,1641861532,0.083960056
68,0.077651381,0.002097964,1641861532,1641861532,0.075570107
69,0.076122522,0.002114534,1641861532,1641861532,0.074029922
