T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,ptp,quic
1641992398.805636197s,1641992398.811643082s,1641992398.811646065s,1641992398.811954598s,0.006007s,0.000309s,0.003158s,0.002849,0.003011107
1641992398.811954598s,1641992398.812356204s,1641992398.812374057s,1641992398.812653071s,0.000402s,0.000279s,0.000340s,0.000061,0.002210021
1641992398.812653071s,1641992398.812949609s,1641992398.812972010s,1641992398.813527156s,0.000297s,0.000555s,0.000426s,-0.000129,0.00218159
1641992398.813527156s,1641992398.813934337s,1641992398.813955067s,1641992398.814285787s,0.000407s,0.000331s,0.000369s,0.000038,0.002350767
1641992398.814285787s,1641992398.814706070s,1641992398.814736376s,1641992398.815100489s,0.000420s,0.000364s,0.000392s,0.000028,0.002690047
1641992398.815100489s,1641992398.815540315s,1641992398.815562486s,1641992398.815879313s,0.000440s,0.000317s,0.000378s,0.000062,0.003285217
1641992398.815879313s,1641992398.816297580s,1641992398.816319073s,1641992398.816611451s,0.000418s,0.000293s,0.000355s,0.000063,0.003525118
1641992398.816611451s,1641992398.817014479s,1641992398.817035759s,1641992398.817322467s,0.000403s,0.000287s,0.000345s,0.000058,0.003549865
1641992398.817322467s,1641992398.817715725s,1641992398.817736315s,1641992398.818027243s,0.000393s,0.000291s,0.000342s,0.000051,0.003403082
1641992398.818027243s,1641992398.818427505s,1641992398.818449101s,1641992398.818909364s,0.000400s,0.000460s,0.000430s,-0.00003,0.003325078
1641992398.818909364s,1641992398.819346473s,1641992398.819368406s,1641992398.819779739s,0.000437s,0.000411s,0.000424s,0.000013,0.00327034
1641992398.819779739s,1641992398.820187651s,1641992398.820228182s,1641992398.820511879s,0.000408s,0.000284s,0.000346s,0.000062,0.003314387
1641992398.820511879s,1641992398.820926304s,1641992398.820949396s,1641992398.821258286s,0.000414s,0.000309s,0.000362s,0.000053,0.003253092
1641992398.821258286s,1641992398.821684765s,1641992398.821706678s,1641992398.821993401s,0.000427s,0.000287s,0.000357s,0.00007,0.003213763
1641992398.821993401s,1641992398.822433246s,1641992398.822435399s,1641992398.822707174s,0.000440s,0.000272s,0.000356s,0.000084,0.003343284
1641992398.822707174s,1641992398.823151247s,1641992398.823153363s,1641992398.823441124s,0.000444s,0.000288s,0.000366s,0.000078,0.003301541
1641992398.823441124s,1641992398.823875198s,1641992398.823877213s,1641992398.824173116s,0.000434s,0.000296s,0.000365s,0.000069,0.003273882
1641992398.824173116s,1641992398.824598170s,1641992398.824601082s,1641992398.825635115s,0.000425s,0.001034s,0.000729s,-0.000305,0.003244225
1641992398.825635115s,1641992398.826075445s,1641992398.826079881s,1641992398.826409274s,0.000440s,0.000329s,0.000385s,0.000055,0.003223181
1641992398.826409274s,1641992398.826866518s,1641992398.826870747s,1641992398.827156650s,0.000457s,0.000286s,0.000372s,0.000086,0.00319309
1641992398.827156650s,1641992398.827606423s,1641992398.827610929s,1641992398.827922598s,0.000450s,0.000312s,0.000381s,0.000069,0.003109401
1641992398.827922598s,1641992398.828379730s,1641992398.828384137s,1641992398.828649482s,0.000457s,0.000265s,0.000361s,0.000096,0.003092993
1641992398.828649482s,1641992398.829090289s,1641992398.829092687s,1641992398.829381254s,0.000441s,0.000288s,0.000365s,0.000076,0.003081436
1641992398.829381254s,1641992398.829822972s,1641992398.829825621s,1641992398.830118068s,0.000442s,0.000293s,0.000367s,0.000075,0.003064679
1641992398.830118068s,1641992398.830575440s,1641992398.830577550s,1641992398.830908299s,0.000457s,0.000331s,0.000394s,0.000063,0.003049428
1641992398.830908299s,1641992398.831391120s,1641992398.831393189s,1641992398.831726774s,0.000483s,0.000334s,0.000408s,0.000075,0.003041387
1641992398.831726774s,1641992398.832189829s,1641992398.832192280s,1641992398.832547355s,0.000463s,0.000355s,0.000409s,0.000054,0.003030529
1641992398.832547355s,1641992398.832989491s,1641992398.832991570s,1641992398.833315049s,0.000442s,0.000324s,0.000383s,0.000059,0.003022388
1641992398.833315049s,1641992398.833758354s,1641992398.833760661s,1641992398.834062603s,0.000443s,0.000302s,0.000373s,0.000071,0.003012414
1641992398.834062603s,1641992398.834507612s,1641992398.834509714s,1641992398.834816782s,0.000445s,0.000307s,0.000376s,0.000069,0.003003967
1641992398.834816782s,1641992398.835269215s,1641992398.835272294s,1641992398.836912844s,0.000453s,0.001641s,0.001047s,-0.000594,0.002999985
1641992398.836912844s,1641992398.837375355s,1641992398.837377273s,1641992398.837702783s,0.000463s,0.000325s,0.000394s,0.000069,0.002995856
1641992398.837702783s,1641992398.838195156s,1641992398.838199238s,1641992398.838528212s,0.000492s,0.000329s,0.000411s,0.000082,0.002993736
1641992398.838528212s,1641992398.838988590s,1641992398.838992963s,1641992398.839296063s,0.000460s,0.000303s,0.000382s,0.000079,0.0029705
1641992398.839296063s,1641992398.839748662s,1641992398.839753139s,1641992398.840116342s,0.000453s,0.000363s,0.000408s,0.000045,0.002963904
1641992398.840116342s,1641992398.840579411s,1641992398.840581541s,1641992398.840944943s,0.000463s,0.000363s,0.000413s,0.00005,0.002994674
1641992398.840944943s,1641992398.841363976s,1641992398.841366131s,1641992398.841769603s,0.000419s,0.000404s,0.000411s,0.000008,0.002976242
1641992398.841769603s,1641992398.842191875s,1641992398.842194617s,1641992398.842497969s,0.000422s,0.000304s,0.000363s,0.000059,0.002968102
1641992398.842497969s,1641992398.842911526s,1641992398.842951847s,1641992398.843271990s,0.000413s,0.000320s,0.000367s,0.000047,0.002961987
1641992398.843271990s,1641992398.843733565s,1641992398.843735672s,1641992398.844054128s,0.000462s,0.000319s,0.000390s,0.000072,0.002956256
1641992398.844054128s,1641992398.844478924s,1641992398.844481005s,1641992398.844806759s,0.000425s,0.000326s,0.000375s,0.000049,0.002950838
1641992398.844806759s,1641992398.845233648s,1641992398.845278233s,1641992398.845571300s,0.000427s,0.000293s,0.000360s,0.000067,0.002945397
1641992398.845571300s,1641992398.845993539s,1641992398.845995822s,1641992398.846315435s,0.000422s,0.000319s,0.000371s,0.000051,0.002973798
1641992398.846315435s,1641992398.846749469s,1641992398.846751502s,1641992398.847058301s,0.000434s,0.000307s,0.000371s,0.000064,0.002966044
1641992398.847058301s,1641992398.847497567s,1641992398.847500578s,1641992398.848370263s,0.000439s,0.000870s,0.000654s,-0.000215,0.003013077
1641992398.848370263s,1641992398.848818687s,1641992398.848820929s,1641992398.849140264s,0.000448s,0.000319s,0.000384s,0.000065,0.003033217
1641992398.849140264s,1641992398.849575142s,1641992398.849611172s,1641992398.849925268s,0.000435s,0.000314s,0.000374s,0.00006,0.003022932
1641992398.849925268s,1641992398.850345097s,1641992398.850347099s,1641992398.850661453s,0.000420s,0.000314s,0.000367s,0.000053,0.003017585
1641992398.850661453s,1641992398.851132147s,1641992398.851134236s,1641992398.851427060s,0.000471s,0.000293s,0.000382s,0.000089,0.00301141
1641992398.851427060s,1641992398.851890651s,1641992398.851892598s,1641992398.852258168s,0.000463s,0.000365s,0.000414s,0.000049,0.003006273
1641992398.852258168s,1641992398.852678087s,1641992398.852680603s,1641992398.852981374s,0.000420s,0.000301s,0.000360s,0.00006,0.00300133
1641992398.852981374s,1641992398.853401868s,1641992398.853403916s,1641992398.853737169s,0.000421s,0.000333s,0.000377s,0.000044,0.003017771
1641992398.853737169s,1641992398.854158941s,1641992398.854160996s,1641992398.854478815s,0.000422s,0.000318s,0.000370s,0.000052,0.003054518
1641992398.854478815s,1641992398.854928980s,1641992398.854931108s,1641992398.855232713s,0.000450s,0.000302s,0.000376s,0.000074,0.003046067
1641992398.855232713s,1641992398.855699406s,1641992398.855701350s,1641992398.855993750s,0.000467s,0.000292s,0.000379s,0.000087,0.003033442
1641992398.855993750s,1641992398.856487619s,1641992398.856522197s,1641992398.856901267s,0.000494s,0.000379s,0.000436s,0.000057,0.003031631
1641992398.856901267s,1641992398.857391591s,1641992398.857417396s,1641992398.857751548s,0.000490s,0.000334s,0.000412s,0.000078,0.003024874
1641992398.857751548s,1641992398.858282588s,1641992398.858284684s,1641992398.858808580s,0.000531s,0.000524s,0.000527s,0.000004,0.003022311
1641992398.858808580s,1641992398.859341610s,1641992398.859343733s,1641992398.859689097s,0.000533s,0.000345s,0.000439s,0.000094,0.00301661
1641992398.859689097s,1641992398.860176402s,1641992398.860219600s,1641992398.860526549s,0.000487s,0.000307s,0.000397s,0.00009,0.003012142
1641992398.860526549s,1641992398.861013928s,1641992398.861052921s,1641992398.861415950s,0.000487s,0.000363s,0.000425s,0.000062,0.003009659
1641992398.861415950s,1641992398.861877865s,1641992398.861879891s,1641992398.862200250s,0.000462s,0.000320s,0.000391s,0.000071,0.003005706
1641992398.862200250s,1641992398.862650342s,1641992398.862709750s,1641992398.863051143s,0.000450s,0.000341s,0.000396s,0.000054,0.00300369
1641992398.863051143s,1641992398.863552589s,1641992398.863554771s,1641992398.863839799s,0.000501s,0.000285s,0.000393s,0.000108,0.002998324
1641992398.863839799s,1641992398.864287371s,1641992398.864290018s,1641992398.864583267s,0.000448s,0.000293s,0.000370s,0.000077,0.002995284
1641992398.864583267s,1641992398.865014247s,1641992398.865098761s,1641992398.865419881s,0.000431s,0.000321s,0.000376s,0.000055,0.003007489
1641992398.865419881s,1641992398.865867150s,1641992398.865943897s,1641992398.866253881s,0.000447s,0.000310s,0.000379s,0.000069,0.003038385
1641992398.866253881s,1641992398.866731569s,1641992398.866757860s,1641992398.867073275s,0.000478s,0.000315s,0.000397s,0.000081,0.003036725
1641992398.867073275s,1641992398.867517208s,1641992398.867554050s,1641992398.867840071s,0.000444s,0.000286s,0.000365s,0.000079,0.003047985
1641992398.867840071s,1641992398.868296675s,1641992398.868318331s,1641992398.868632403s,0.000457s,0.000314s,0.000385s,0.000071,0.003036836
1641992398.868632403s,1641992398.869136449s,1641992398.869156792s,1641992398.869445299s,0.000504s,0.000288s,0.000396s,0.000108,0.003068617
1641992398.869445299s,1641992398.869906501s,1641992398.869924211s,1641992398.870242931s,0.000461s,0.000319s,0.000390s,0.000071,0.003064191
1641992398.870242931s,1641992398.870720999s,1641992398.870740224s,1641992398.871052673s,0.000478s,0.000313s,0.000395s,0.000083,0.00306076
1641992398.871052673s,1641992398.871519879s,1641992398.871538638s,1641992398.871850926s,0.000467s,0.000312s,0.000390s,0.000077,0.003056569
1641992398.871850926s,1641992398.872327458s,1641992398.872384008s,1641992398.872709272s,0.000477s,0.000325s,0.000401s,0.000076,0.003051803
1641992398.872709272s,1641992398.873165861s,1641992398.873199813s,1641992398.873480782s,0.000457s,0.000281s,0.000369s,0.000088,0.003048348
