T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,ptp,quic
1641990854.040934998s,1641990854.031365836s,1641990854.031394638s,1641990854.041886660s,-0.009569s,0.010492s,0.000461s,-0.010031,-0.006570578
1641990854.041886660s,1641990854.032242022s,1641990854.032284614s,1641990854.042749150s,-0.009645s,0.010465s,0.000410s,-0.010055,-0.008107543
1641990854.042749150s,1641990854.033069814s,1641990854.033121315s,1641990854.043585521s,-0.009679s,0.010464s,0.000392s,-0.010072,-0.008046567
1641990854.043585521s,1641990854.033928445s,1641990854.033958122s,1641990854.044421503s,-0.009657s,0.010463s,0.000403s,-0.01006,-0.008021792
1641990854.044421503s,1641990854.034756588s,1641990854.034794056s,1641990854.045287720s,-0.009665s,0.010494s,0.000414s,-0.010079,-0.007879883
1641990854.045287720s,1641990854.035620906s,1641990854.035662414s,1641990854.048465742s,-0.009667s,0.012803s,0.001568s,-0.011235,-0.007787323
1641990854.048465742s,1641990854.040155685s,1641990854.040203101s,1641990854.050672008s,-0.008310s,0.010469s,0.001079s,-0.00939,-0.007478356
1641990854.050672008s,1641990854.041652874s,1641990854.041697234s,1641990854.052160400s,-0.009019s,0.010463s,0.000722s,-0.009741,-0.00746022
1641990854.052160400s,1641990854.042501869s,1641990854.042532016s,1641990854.052997723s,-0.009659s,0.010466s,0.000404s,-0.010062,-0.007466152
1641990854.052997723s,1641990854.043660509s,1641990854.043687966s,1641990854.054164146s,-0.009337s,0.010476s,0.000569s,-0.009907,-0.007479164
1641990854.054164146s,1641990854.044451677s,1641990854.044492846s,1641990854.057000109s,-0.009712s,0.012507s,0.001397s,-0.01111,-0.00747304
1641990854.057000109s,1641990854.047347761s,1641990854.047390377s,1641990854.057833270s,-0.009652s,0.010443s,0.000395s,-0.010048,-0.007374254
1641990854.057833270s,1641990854.048178302s,1641990854.048223255s,1641990854.058662903s,-0.009655s,0.010440s,0.000392s,-0.010047,-0.00728627
1641990854.058662903s,1641990854.048998615s,1641990854.049024530s,1641990854.059479690s,-0.009664s,0.010455s,0.000395s,-0.01006,-0.007120316
1641990854.059479690s,1641990854.049822012s,1641990854.049862640s,1641990854.060329830s,-0.009658s,0.010467s,0.000405s,-0.010062,-0.007042255
