T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,ptp,quic
1641991208.044963242s,1641991208.046204618s,1641991208.046242379s,1641991208.045708087s,0.001241s,-0.000534s,0.000353s,0.000888,0.004491448
1641991208.045708087s,1641991208.046931650s,1641991208.046962159s,1641991208.046429202s,0.001224s,-0.000533s,0.000345s,0.000878,0.00285697
1641991208.046429202s,1641991208.047671183s,1641991208.047702786s,1641991208.047148872s,0.001242s,-0.000554s,0.000344s,0.000898,0.003077507
1641991208.047148872s,1641991208.048407315s,1641991208.048436583s,1641991208.047880879s,0.001258s,-0.000556s,0.000351s,0.000907,0.003234585
1641991208.047880879s,1641991208.049111075s,1641991208.049143222s,1641991208.048585235s,0.001230s,-0.000558s,0.000336s,0.000894,0.00333342
1641991208.048585235s,1641991208.049813625s,1641991208.049845066s,1641991208.049289229s,0.001228s,-0.000556s,0.000336s,0.000892,0.003379464
1641991208.049289229s,1641991208.050524044s,1641991208.050554818s,1641991208.050017366s,0.001235s,-0.000537s,0.000349s,0.000886,0.003418307
1641991208.050017366s,1641991208.051267745s,1641991208.051297749s,1641991208.050749967s,0.001251s,-0.000548s,0.000351s,0.000899,0.00344571
1641991208.050749967s,1641991208.051993244s,1641991208.052023073s,1641991208.051481561s,0.001243s,-0.000542s,0.000351s,0.000892,0.003489122
1641991208.051481561s,1641991208.052706732s,1641991208.052736579s,1641991208.052201619s,0.001225s,-0.000535s,0.000345s,0.00088,0.003294124
1641991208.052201619s,1641991208.053435373s,1641991208.053465967s,1641991208.052909162s,0.001234s,-0.000557s,0.000338s,0.000895,0.003263998
1641991208.052909162s,1641991208.054160432s,1641991208.054188537s,1641991208.053639576s,0.001251s,-0.000549s,0.000351s,0.0009,0.003292366
1641991208.053639576s,1641991208.054878229s,1641991208.054917087s,1641991208.054377814s,0.001239s,-0.000539s,0.000350s,0.000889,0.003321459
1641991208.054377814s,1641991208.055608911s,1641991208.055640786s,1641991208.055142112s,0.001231s,-0.000499s,0.000366s,0.000865,0.003345453
1641991208.055142112s,1641991208.057488019s,1641991208.057523642s,1641991208.057703550s,0.002346s,0.000180s,0.001263s,0.001083,0.003360135
1641991208.057703550s,1641991208.058966778s,1641991208.058991778s,1641991208.058451561s,0.001263s,-0.000540s,0.000362s,0.000902,0.003387364
1641991208.058451561s,1641991208.059693874s,1641991208.059725049s,1641991208.059211765s,0.001242s,-0.000513s,0.000364s,0.000878,0.003397584
1641991208.059211765s,1641991208.060476081s,1641991208.060506066s,1641991208.059968017s,0.001264s,-0.000538s,0.000363s,0.000901,0.003413579
1641991208.059968017s,1641991208.061215858s,1641991208.061256078s,1641991208.060714563s,0.001248s,-0.000542s,0.000353s,0.000895,0.003428135
1641991208.060714563s,1641991208.061964698s,1641991208.062002862s,1641991208.061512434s,0.001250s,-0.000490s,0.000380s,0.00087,0.003434062
1641991208.061512434s,1641991208.062773669s,1641991208.062814231s,1641991208.062291773s,0.001261s,-0.000522s,0.000369s,0.000892,0.003447759
1641991208.062291773s,1641991208.063579872s,1641991208.063610551s,1641991208.063077357s,0.001288s,-0.000533s,0.000377s,0.000911,0.003460135
1641991208.063077357s,1641991208.064312368s,1641991208.064349395s,1641991208.063817768s,0.001235s,-0.000532s,0.000352s,0.000883,0.003476679
1641991208.063817768s,1641991208.065070461s,1641991208.065102330s,1641991208.064553869s,0.001253s,-0.000548s,0.000352s,0.000901,0.003484202
1641991208.064553869s,1641991208.065826604s,1641991208.065872312s,1641991208.065352246s,0.001273s,-0.000520s,0.000376s,0.000896,0.003489931
1641991208.065352246s,1641991208.066651394s,1641991208.066681920s,1641991208.066148883s,0.001299s,-0.000533s,0.000383s,0.000916,0.003499775
1641991208.066148883s,1641991208.067407754s,1641991208.067431864s,1641991208.070833448s,0.001259s,0.003402s,0.002330s,-0.001071,0.003502222
1641991208.070833448s,1641991208.072111028s,1641991208.072138387s,1641991208.071602047s,0.001278s,-0.000536s,0.000371s,0.000907,0.00350278
1641991208.071602047s,1641991208.072854030s,1641991208.072885920s,1641991208.072345572s,0.001252s,-0.000540s,0.000356s,0.000896,0.003511795
1641991208.072345572s,1641991208.073591397s,1641991208.073623127s,1641991208.073069450s,0.001246s,-0.000554s,0.000346s,0.0009,0.003516752
1641991208.073069450s,1641991208.074314073s,1641991208.074347054s,1641991208.073802447s,0.001245s,-0.000545s,0.000350s,0.000895,0.003526402
1641991208.073802447s,1641991208.075047391s,1641991208.075081525s,1641991208.074545164s,0.001245s,-0.000536s,0.000354s,0.000891,0.003527176
1641991208.074545164s,1641991208.075775782s,1641991208.075812022s,1641991208.075293821s,0.001231s,-0.000518s,0.000356s,0.000875,0.003529407
1641991208.075293821s,1641991208.076412358s,1641991208.076443537s,1641991208.075949961s,0.001119s,-0.000494s,0.000313s,0.000806,0.003536149
1641991208.075949961s,1641991208.077182234s,1641991208.077218332s,1641991208.076707623s,0.001232s,-0.000511s,0.000361s,0.000872,0.003540323
1641991208.076707623s,1641991208.077946618s,1641991208.077976926s,1641991208.078121755s,0.001239s,0.000145s,0.000692s,0.000547,0.003542614
1641991208.078121755s,1641991208.079417868s,1641991208.079420096s,1641991208.078898051s,0.001296s,-0.000522s,0.000387s,0.000909,0.003546784
1641991208.078898051s,1641991208.080226106s,1641991208.080228092s,1641991208.079695328s,0.001328s,-0.000533s,0.000398s,0.000931,0.0035539
1641991208.079695328s,1641991208.080950313s,1641991208.080982272s,1641991208.080514143s,0.001255s,-0.000468s,0.000394s,0.000862,0.003557453
1641991208.080514143s,1641991208.081763645s,1641991208.081797006s,1641991208.081256899s,0.001250s,-0.000540s,0.000355s,0.000895,0.003557367
1641991208.081256899s,1641991208.082489101s,1641991208.082518574s,1641991208.081958318s,0.001232s,-0.000560s,0.000336s,0.000896,0.003558341
1641991208.081958318s,1641991208.083187275s,1641991208.083221701s,1641991208.082677065s,0.001229s,-0.000545s,0.000342s,0.000887,0.003561447
1641991208.082677065s,1641991208.083898192s,1641991208.083935514s,1641991208.083401741s,0.001221s,-0.000534s,0.000344s,0.000877,0.003571612
1641991208.083401741s,1641991208.084634660s,1641991208.084683000s,1641991208.084145764s,0.001233s,-0.000537s,0.000348s,0.000885,0.003580154
1641991208.084145764s,1641991208.085275125s,1641991208.085313467s,1641991208.084827810s,0.001129s,-0.000486s,0.000322s,0.000808,0.00358655
1641991208.084827810s,1641991208.086219124s,1641991208.086259266s,1641991208.085721910s,0.001391s,-0.000537s,0.000427s,0.000964,0.003592112
1641991208.085721910s,1641991208.086981984s,1641991208.087013476s,1641991208.086497093s,0.001260s,-0.000516s,0.000372s,0.000888,0.003596428
1641991208.086497093s,1641991208.087749543s,1641991208.087767390s,1641991208.087243159s,0.001252s,-0.000524s,0.000364s,0.000888,0.003583997
1641991208.087243159s,1641991208.088555148s,1641991208.088585566s,1641991208.088040925s,0.001312s,-0.000545s,0.000384s,0.000928,0.00353875
1641991208.088040925s,1641991208.089216784s,1641991208.089247955s,1641991208.088699339s,0.001176s,-0.000549s,0.000314s,0.000862,0.003541195
1641991208.088699339s,1641991208.089941713s,1641991208.089970833s,1641991208.089447758s,0.001242s,-0.000523s,0.000360s,0.000883,0.00354207
1641991208.089447758s,1641991208.090686548s,1641991208.090718410s,1641991208.090166365s,0.001239s,-0.000552s,0.000343s,0.000896,0.003544162
1641991208.090166365s,1641991208.091409978s,1641991208.091441605s,1641991208.094823487s,0.001244s,0.003382s,0.002313s,-0.001069,0.003547086
1641991208.094823487s,1641991208.096120749s,1641991208.096158932s,1641991208.095635587s,0.001297s,-0.000523s,0.000387s,0.00091,0.003547851
1641991208.095635587s,1641991208.096892253s,1641991208.096933761s,1641991208.096691756s,0.001257s,-0.000242s,0.000507s,0.000749,0.00354958
1641991208.096691756s,1641991208.097990025s,1641991208.097991927s,1641991208.097480765s,0.001298s,-0.000511s,0.000394s,0.000905,0.003550226
1641991208.097480765s,1641991208.098753539s,1641991208.098772394s,1641991208.098328120s,0.001273s,-0.000444s,0.000414s,0.000858,0.003553976
1641991208.098328120s,1641991208.100350115s,1641991208.100380700s,1641991208.099903007s,0.002022s,-0.000478s,0.000772s,0.00125,0.003556446
1641991208.099903007s,1641991208.101208255s,1641991208.101233221s,1641991208.100695144s,0.001305s,-0.000538s,0.000383s,0.000922,0.003558315
1641991208.100695144s,1641991208.101931705s,1641991208.101955982s,1641991208.105445599s,0.001237s,0.003490s,0.002363s,-0.001127,0.003560149
1641991208.105445599s,1641991208.106685657s,1641991208.106727099s,1641991208.106208940s,0.001240s,-0.000518s,0.000361s,0.000879,0.003553691
1641991208.106208940s,1641991208.107526554s,1641991208.107528757s,1641991208.107022572s,0.001318s,-0.000506s,0.000406s,0.000912,0.003584918
1641991208.107022572s,1641991208.108281300s,1641991208.108313940s,1641991208.107833392s,0.001259s,-0.000481s,0.000389s,0.00087,0.003585089
1641991208.107833392s,1641991208.109074189s,1641991208.109104330s,1641991208.108594572s,0.001241s,-0.000510s,0.000365s,0.000875,0.003627792
1641991208.108594572s,1641991208.109826508s,1641991208.109859501s,1641991208.109306211s,0.001232s,-0.000553s,0.000339s,0.000893,0.003622394
1641991208.109306211s,1641991208.110510426s,1641991208.110541731s,1641991208.110027419s,0.001204s,-0.000515s,0.000345s,0.000859,0.003626537
1641991208.110027419s,1641991208.111350034s,1641991208.111374720s,1641991208.110827583s,0.001323s,-0.000547s,0.000388s,0.000935,0.003659028
