Index,OFF_S,quic 
1,0.001224s,0.003375053
2,0.001242s,0.000689745
3,0.001279s,0.000752091
4,0.001260s,0.000564933
5,0.001225s,0.000551105
6,0.001255s,0.000420451
7,0.001249s,0.000472546
8,0.001213s,0.000550151
9,0.001244s,0.000836134
10,0.001230s,0.001969218
11,0.001253s,0.002689838
12,0.001216s,0.001233697
13,0.001252s,0.000849962
14,0.001277s,0.000771761
15,0.001252s,0.000607371
16,0.001174s,0.002796054
17,0.001216s,0.000525713
18,0.001246s,0.000445366
19,0.001267s,0.002138972
20,0.000595s,0.000882268
21,0.001243s,0.000308275
22,0.001135s,0.001596808
23,0.001119s,0.001214147
24,0.000741s,0.002554536
25,0.001223s,0.000659585
26,0.001233s,0.000739336
27,0.001270s,0.002045035
28,0.001220s,0.000760555
29,0.001223s,0.000571728
30,0.001273s,0.003361225
31,0.001148s,0.000793695
32,0.001166s,0.000649095
33,0.001271s,0.00071919
34,0.001264s,0.000762463
35,0.001242s,0.002786279
36,0.001281s,0.000491619
37,0.001247s,0.00071013
38,0.001267s,0.002824783
39,0.001259s,-0.002378464
40,0.001279s,0.000654459
41,0.001258s,0.003286839
42,0.001283s,0.000656724
43,0.001230s,0.000517726
44,0.001237s,0.002121449
45,0.001268s,0.000604391
46,0.001054s,0.003363967
47,0.001200s,0.001144886
48,0.001251s,0.00577116
49,0.001257s,0.000510216
50,0.001248s,0.000615954
51,0.001275s,0.000341415
52,0.001240s,0.003401518
53,0.001255s,0.000145078
54,0.001444s,0.003797293
55,0.001231s,0.00052619
56,0.001270s,0.000632763
57,0.001254s,0.000479341
58,0.001240s,0.000658154
59,0.001005s,0.003483653
60,0.001249s,0.000539303
61,0.001239s,0.003126144
62,0.001074s,0.000513673
63,0.001245s,0.00050199
64,0.001258s,0.000519514
65,0.001244s,0.003829122
66,0.001217s,0.000190496
67,0.001017s,0.000424981
68,0.001260s,0.003189802
69,0.001233s,0.00037396
70,0.001265s,0.000456691
71,0.001222s,0.000660896
72,0.001226s,0.000643969
73,0.001245s,0.000567436
