quic,OFF_S
0.01169765,0.011002s
0.01123786,0.010821s
0.010676503,0.010864s
0.01084578,0.010843s
0.010927796,0.010835s
0.010827661,0.010820s
0.010908127,0.010787s
0.010769129,0.010847s
0.010790229,0.010831s
0.01083076,0.010882s
0.010880113,0.010799s
0.011003137,0.010850s
0.011006117,0.010824s
0.011504889,0.010824s
0.01085043,0.010820s
0.010756493,0.010681s
0.010880947,0.010848s
0.01073873,0.010770s
0.010693312,0.010843s
0.0107373,0.010794s
0.010843039,0.010824s
0.010826707,0.010860s
0.011161208,0.010822s
0.011158943,0.010840s
0.011155605,0.010862s
0.010788202,0.010502s
0.010832787,0.010756s
0.010618329,0.010849s
0.010874867,0.010825s
0.010681868,0.010801s
0.010894179,0.010852s
0.010928631,0.010834s
0.010714889,0.010716s
0.010519624,0.010776s
0.010685086,0.010724s
0.010663867,0.010770s
0.010556221,0.010853s
0.010557532,0.010764s
0.010421634,0.010849s
0.010567665,0.010697s
0.010693789,0.010845s
0.010580897,0.010849s
0.010523677,0.010843s
0.010661602,0.010792s
0.010578036,0.010872s
0.011298776,0.010821s
0.010677218,0.010858s
0.010528445,0.010843s
0.010566115,0.010842s
0.013007045,0.010836s
0.01066947,0.010825s
0.01303792,0.010811s
0.010698915,0.010864s
0.010485172,0.010845s
0.010501862,0.010809s
0.010315061,0.010827s
0.010600924,0.010875s
0.010714531,0.010815s
0.010537982,0.010806s
0.010383487,0.010772s
0.010618925,0.010851s
0.010546446,0.010843s
0.010595679,0.010857s
0.010913372,0.010854s
0.010457277,0.010836s
0.010669708,0.010803s
0.010660529,0.010899s
0.014391184,0.010859s
0.01067555,0.010561s
0.010605931,0.010864s
0.010679007,0.010887s
0.010654926,0.010887s
0.010579705,0.010835s
0.010584831,0.010879s
0.010501742,0.010739s
0.010517597,0.010884s
0.010752916,0.010808s
0.010505795,0.010813s
0.01075542,0.010864s
0.010594249,0.010830s
0.01397109,0.010853s
0.010729909,0.010802s
0.010593772,0.010819s
0.010463476,0.010848s
0.013563037,0.010813s
0.012506247,0.010861s
0.01051569,0.010408s
0.010746241,0.010785s
0.01118052,0.010861s
0.01070559,0.010868s
0.012043715,0.010848s
0.010298967,0.010806s
0.011030197,0.010825s
0.010549664,0.010805s
0.010618091,0.010788s
0.01327157,0.010746s
0.010791779,0.010824s
0.013748765,0.010840s
0.01330924,0.010589s
0.010647058,0.010843s
0.010740161,0.010823s
0.010526896,0.010785s
0.010728478,0.010789s
0.013007283,0.010795s
0.010265708,0.010829s
0.010789871,0.010812s
0.014205337,0.010820s
0.010253072,0.010827s
0.010767817,0.010774s
0.014095426,0.010825s
0.013616323,0.010826s
0.010259509,0.010830s
0.010751128,0.010823s
0.010930181,0.010838s
0.010707974,0.010822s
0.014132857,0.010853s
0.010286689,0.010825s
0.010746121,0.010850s
0.013540626,0.010856s
0.010489106,0.010870s
0.010648847,0.010843s
0.008473039,0.010834s
0.010584116,0.010860s
0.010749698,0.010811s
0.010722399,0.010890s
0.010732174,0.010827s
0.010718942,0.010842s
0.013619184,0.010879s
0.010435939,0.010864s
0.010192752,0.010849s
0.010709286,0.010868s
0.01081121,0.010842s
0.011168361,0.010849s
0.010701537,0.010870s
0.010689616,0.010854s
0.011166573,0.010831s
0.010609269,0.010833s
0.010705352,0.010830s
0.010724306,0.010849s
0.010673523,0.010835s
0.010709167,0.010834s
0.010743499,0.010812s
0.010737538,0.010828s
0.010729074,0.010842s
0.010721207,0.010827s
0.010640383,0.010852s
0.01069057,0.010869s
0.010639668,0.010834s
0.013427973,0.010863s
0.014574409,0.010529s
0.010878563,0.010859s
0.0104568,0.010840s
0.010704756,0.010788s
0.012859941,0.010816s
0.010736942,0.010827s
0.013559461,0.010831s
0.010672808,0.010842s
0.013732195,0.010799s
0.010754585,0.010854s
0.010666013,0.010826s
0.010679007,0.010816s
0.010689259,0.010866s
0.010730743,0.010788s
0.013382912,0.010828s
0.010651827,0.010842s
0.010662556,0.010815s
0.01061213,0.010822s
0.010600686,0.010787s
0.013625741,0.010824s
0.010337353,0.010860s
0.010682702,0.010855s
0.010641813,0.010861s
0.010368943,0.010623s
0.013603926,0.010799s
0.010605693,0.010836s
0.010679722,0.010849s
0.010692477,0.010779s
0.013686538,0.010831s
0.01074326,0.010832s
0.013332486,0.010786s
0.014453292,0.010788s
0.010672808,0.010818s
0.010620117,0.010809s
0.01065135,0.010846s
0.010763884,0.010832s
0.014822125,0.010840s
0.01072824,0.010833s
0.01386416,0.010818s
0.013710856,0.010830s
0.012951732,0.010847s
0.010983348,0.010868s
0.010507584,0.010867s
0.010634184,0.010867s
0.010536194,0.010860s
0.010360718,0.010832s
0.01081109,0.010850s
0.010312438,0.010784s
0.013365269,0.010844s
0.010672212,0.010842s
0.010479093,0.010802s
0.010476708,0.010869s
0.01312983,0.010832s
0.010606647,0.010850s
0.012882113,0.010869s
0.010981679,0.010862s
0.013357878,0.010828s
0.010620832,0.010821s
0.01304245,0.010849s
0.011042118,0.010829s
0.013267517,0.010839s
0.010522127,0.010825s
0.013500452,0.010834s
0.014158368,0.010806s
0.014009476,0.010866s
0.012494683,0.010844s
0.013265133,0.010809s
0.012562513,0.010786s
0.013230681,0.010820s
0.013243437,0.010837s
0.012804627,0.010868s
0.01312232,0.010871s
0.013080835,0.010813s
0.013943672,0.010870s
0.014342308,0.010826s
0.010539174,0.010869s
0.012798309,0.010868s
0.010934234,0.010834s
0.010440588,0.010800s
0.010462523,0.010836s
0.010731578,0.010859s
0.013750315,0.010844s
0.012569308,0.010860s
0.010608196,0.010824s
0.013878107,0.010859s
0.015788555,0.010850s
0.011010289,0.010861s
0.01222527,0.010854s
0.010425329,0.010844s
0.011537433,0.010840s
0.010509491,0.010854s
0.010920882,0.010825s
0.010861278,0.010834s
0.010572195,0.010857s
0.012134314,0.010832s
0.014234066,0.010830s
0.010878086,0.010832s
0.010298967,0.010843s
0.010617733,0.010824s
0.010553002,0.010843s
0.010579467,0.010864s
0.013936877,0.010848s
0.016269445,0.010845s
0.010473728,0.010867s
0.014686465,0.010801s
0.013594985,0.010853s
0.014048576,0.010828s
0.014530897,0.010847s
0.010589242,0.010850s
0.010392666,0.010858s
0.010875463,0.010872s
0.01039362,0.010855s
0.010837078,0.010860s
0.009938121,0.010834s
0.013161182,0.010826s
0.010296106,0.010859s
0.013184667,0.010858s
0.010687828,0.010838s
0.012655735,0.010858s
0.010290504,0.010870s
0.009937644,0.010794s
0.010048151,0.010858s
0.01045835,0.010826s
0.010477424,0.010855s
0.012912273,0.010867s
0.013428211,0.010835s
0.010581374,0.010848s
0.010566592,0.010868s
0.010535359,0.010841s
0.010377049,0.010835s
0.01004231,0.010822s
0.010566831,0.010855s
0.010004878,0.010850s
0.012399316,0.010843s
0.012870312,0.010865s
0.010804653,0.010829s
0.010487437,0.010791s
0.012322783,0.010846s
0.012699008,0.010828s
0.010511875,0.010867s
0.014424205,0.010825s
0.010430932,0.010838s
0.010900855,0.010851s
